id,fdc_id,source,usda_description,display_name,category,form,emoji,svg,cost_per_100g,price_source,price_date,scalable,serving_g,protein_g,fat_g,carbs_g,fiber_g,kcal,His_mg,Ile_mg,Leu_mg,Lys_mg,Met_mg,Cys_mg,Phe_Tyr_mg,Phe_mg,Tyr_mg,Thr_mg,Trp_mg,Val_mg,amino_note
amaranth,170682,foods-usda.js / Soy_Cube,,Amaranth (dry),Grains,dry,,,1.17,BRM,2026-04-24,True,,13.56,7.02,65.25,6.7,371,389,582,879,747,226,191,871,871,,558,181,679,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
brown_rice_dry,169703,USDA Data CSVs,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",Brown rice (dry),Grains,dry,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F33E.svg,0.17,Costco,2026-04-24,True,,7.54,3.2,76.25,3.6,367,202,336,657,303,179,96,708,410,298,291,101,466,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
cornmeal_yellow_dry,168929,USDA Data CSVs,"Cornmeal, degermed, unenriched, yellow","Cornmeal, yellow (dry)",Grains,dry,,,0.17,Costco,2026-04-24,True,,7.11,1.75,79.45,3.9,370,172,242,1006,105,162,159,553,366,187,172,38,337,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
couscous_dry,169699,USDA API (SR Legacy),"Couscous, dry",Couscous (dry),Grains,dry,,,0.53,TJ,2026-04-24,True,,12.76,0.64,77.43,5.0,376,259,493,872,245,199,360,955,620,335,337,163,544,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
kamut_dry,169743,USDA Data CSVs,"Wheat, KAMUT khorasan, uncooked",KAMUT (dry),Grains,dry,,,0.88,BRM,2026-04-24,True,,14.54,2.13,70.58,11.1,337,379,566,1112,416,251,309,1124,772,352,442,130,687,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
millet_dry,169702,USDA API (SR Legacy),"Millet, raw",Millet (dry),Grains,dry,,,0.75,BRM,2026-04-24,True,,11.02,4.22,72.85,8.5,378,236,465,1400,212,221,212,920,580,340,353,119,578,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
oats_rolled_dry,173904,USDA Data CSVs,"Cereals, oats, regular and quick, not fortified, dry","Oats, rolled (dry)",Grains,dry,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F963.svg,0.18,Costco,2026-04-24,True,,13.15,6.52,67.7,10.1,379,275,503,980,637,207,455,1060,665,395,382,182,688,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
rye_grain_dry,168884,USDA Data CSVs,Rye grain,Rye grain (dry),Grains,dry,,,0.75,BRM,2026-04-24,True,,10.34,1.63,75.86,15.1,338,189,208,563,286,153,,635,435,200,289,108,317,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
sorghum_grain_dry,169716,USDA API (SR Legacy),Sorghum grain,Sorghum grain (dry),Grains,dry,,,0.66,BRM,2026-04-24,True,,10.62,3.46,72.09,6.7,329,246,433,1491,229,169,127,867,546,321,346,124,561,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
spelt_dry,169745,USDA Data CSVs,"Spelt, uncooked",Spelt (dry),Grains,dry,,,0.92,BRM,2026-04-24,True,,14.57,2.43,70.19,10.7,338,360,552,1070,409,258,330,1114,737,377,443,132,681,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
